,ID,gender,car,realty,children_count,income_amount,income_type,education_type,family_status,housing_type,mobile,work_phone,phone,email,occupation_type,family_members,status,age,working_yr
0,5008804,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,1,1,0,0,,2.0,0.0,32,12
1,5008805,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,1,1,0,0,,2.0,0.0,32,12
2,5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2.0,0.0,58,3
3,5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1.0,0.0,52,8
4,5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,Sales staff,1.0,0.0,52,8
5,5008812,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,,1.0,0.0,61,-1001
6,5008813,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,,1.0,0.0,61,-1001
7,5008814,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,,1.0,0.0,61,-1001
8,5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,1,Accountants,2.0,0.0,46,2
9,5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Accountants,2.0,0.0,29,3
10,5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Accountants,2.0,0.0,29,3
11,5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,0.0,27,4
12,5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,0.0,27,4
13,5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2.0,0.0,27,4
14,5008834,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,,2.0,0.0,30,4
15,5008835,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,,2.0,0.0,30,4
16,5008836,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,5.0,0.0,34,3
17,5008837,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,5.0,0.0,34,3
18,5008838,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,0.0,32,5
19,5008840,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,0.0,32,5
20,5008843,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,3.0,0.0,32,5
21,5008844,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,0.0,56,12
22,5008847,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,0.0,56,12
23,5008850,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,0.0,56,12
24,5008853,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2.0,0.0,56,12
25,5008855,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,0.0,43,8
26,5008857,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4.0,0.0,43,8
27,5008868,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Core staff,3.0,0.0,44,19
28,5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,0.0,34,4
29,5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,0.0,34,4
30,5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,0.0,34,4
31,5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,0.0,34,4
32,5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,0.0,34,4
33,5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,0.0,34,4
34,5008882,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Managers,4.0,0.0,34,4
35,5008884,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,,1.0,0.0,55,-1001
36,5008892,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
37,5008893,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
38,5008894,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
39,5008895,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
40,5008896,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
41,5008897,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
42,5008898,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
43,5008899,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
44,5008900,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
45,5008901,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
46,5008902,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
47,5008903,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
48,5008904,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
49,5008905,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
50,5008906,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
51,5008907,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
52,5008908,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1.0,0.0,42,8
