status,gender,car,realty,children_count,income_amount,income_type,education_type,family_status,housing_type,work_phone,phone,email,occupation_type,family_members,age,working_yr
1.0,M,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,30.828990012354605,8.207247503088652
0.0,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2.0,34.0,11.0
0.0,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,Laborers,1.0,27.0,5.0
1.0,F,N,Y,1,202500.0,Working,Incomplete higher,Married,House / apartment,0,1,0,Sales staff,2.0,29.658750171066227,5.9762505131986785
1.0,M,N,N,0,407365.18042167893,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Sales staff,1.0,41.47166781793355,3.0
1.0,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2.0,43.31485964291444,17.319897922119594
0.0,F,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Core staff,2.0,33.0,4.0
1.0,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,1,1,0,Laborers,1.0,32.75314409384522,0.0
0.0,F,N,Y,0,238500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2.0,60.0,39.0
1.0,M,N,Y,1,526671.1350178915,Commercial associate,Higher education,Married,House / apartment,0,1,0,Managers,2.0,53.259507500993976,1.0
1.0,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Nan,3.0,55.783171614319684,0.6938508341770113
1.0,M,N,N,0,685747.6241778175,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Managers,2.0,25.698486009484576,5.068685320687235
1.0,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,49.701444479668346,16.48057779186734
