iter	Logloss
0	0.5843219266
1	0.5224774785
2	0.4855332465
3	0.4599871066
4	0.4438109554
5	0.4314143108
6	0.4234472784
7	0.4167920258
8	0.4159142262
9	0.4111726306
10	0.410440723
11	0.4081095078
12	0.4070248374
13	0.4053531812
14	0.4029063272
15	0.4009400926
16	0.4008830987
17	0.4004581811
18	0.3999145877
19	0.3996078488
20	0.399117886
21	0.3988497354
22	0.3987350386
23	0.397878204
24	0.3977790675
25	0.3969407499
26	0.3969406082
27	0.3966255575
28	0.395828862
29	0.3957719986
30	0.395100981
31	0.3950837007
32	0.3949100876
33	0.3946673366
34	0.3943336477
35	0.3938858179
36	0.3938857663
37	0.3938473577
38	0.3937586184
39	0.3937458018
40	0.3935997258
41	0.3935675405
42	0.3929936292
43	0.3928205402
44	0.3928122042
45	0.3927991498
46	0.3926900618
47	0.3926689964
48	0.3926224493
49	0.3922493679
50	0.3922424115
51	0.3918939975
52	0.3918416555
53	0.3918289518
54	0.3916259711
55	0.3916214046
56	0.3913036326
57	0.3910709121
58	0.3908493509
59	0.3908462001
60	0.3906301318
61	0.3904620197
62	0.3903019842
63	0.3902863045
64	0.3901551291
65	0.39002738
66	0.3899156167
67	0.389818644
68	0.389718087
69	0.3896226072
70	0.3895399499
71	0.3894669209
72	0.3893927425
73	0.389329471
74	0.3892742497
75	0.3892187817
76	0.3891633219
77	0.3891055168
78	0.3890518793
79	0.3890034834
80	0.3889631627
81	0.3889232622
82	0.3888837778
83	0.3888449004
84	0.3888119004
85	0.3887768723
86	0.3887435627
87	0.3887139608
88	0.388682161
89	0.3886511828
90	0.3886254994
91	0.3885989488
92	0.3885718765
93	0.3885415258
94	0.3885177349
95	0.3884934169
96	0.3884691347
97	0.3884478738
98	0.3884253113
99	0.3884065073
100	0.388386658
101	0.388365855
102	0.3883406029
103	0.3883236357
104	0.388303165
105	0.3882870998
106	0.3882702938
107	0.3882530231
108	0.3882373422
109	0.3882222076
110	0.3882005845
111	0.3881874148
112	0.3881739376
113	0.3881597033
114	0.3881472486
115	0.3881355304
116	0.3881229837
117	0.38810837
118	0.3880955259
119	0.3880845246
120	0.3880728656
121	0.3880625888
122	0.388051782
123	0.3880394566
124	0.3880288016
125	0.3880186763
126	0.3880095615
127	0.3880001869
128	0.3879910928
129	0.3879825233
130	0.3879742178
131	0.3879660498
132	0.3879571642
133	0.3879491922
134	0.3879397017
135	0.3879307522
136	0.3879226557
137	0.3879140545
138	0.3879067477
139	0.3878984997
140	0.3878917124
141	0.3878840069
142	0.3878771077
143	0.3878694718
144	0.387863135
145	0.3878554387
146	0.3878484977
147	0.3878417919
148	0.3878358804
149	0.3878289086
150	0.3878227945
151	0.3878171667
152	0.3878105928
153	0.3878035393
154	0.3877961877
155	0.387791183
156	0.3877861279
157	0.3877806197
158	0.3877754231
159	0.3877693183
160	0.3877635473
161	0.3877576507
162	0.3877527795
163	0.3877481006
164	0.3877435117
165	0.387738932
166	0.3877342718
167	0.3877295224
168	0.3877254512
169	0.3877214597
170	0.3877168337
171	0.3877127078
172	0.3877084774
173	0.3877038466
174	0.3876990539
175	0.3876953563
176	0.3876908363
177	0.3876863375
178	0.3876820168
179	0.3876776316
180	0.3876736834
181	0.3876701817
182	0.3876663795
183	0.3876630845
184	0.3876593852
185	0.3876559703
186	0.3876520671
187	0.3876480259
188	0.3876444615
189	0.3876406034
190	0.3876372917
191	0.3876335125
192	0.3876303271
193	0.3876267606
194	0.3876235154
195	0.3876200024
196	0.3876164988
197	0.3876134696
198	0.3876105953
199	0.3876072971
200	0.3876043037
201	0.3876014935
202	0.3875983059
203	0.3875946326
204	0.3875921042
205	0.387589325
206	0.3875865538
207	0.3875837386
208	0.3875807838
209	0.3875783225
210	0.3875751629
211	0.387572772
212	0.3875701195
213	0.3875678325
214	0.3875652519
215	0.3875630407
216	0.3875605927
217	0.3875576298
218	0.387555255
219	0.3875526335
220	0.3875498137
221	0.3875476451
222	0.3875455102
223	0.3875432561
224	0.3875405429
225	0.3875405424
226	0.3875403166
227	0.3875377697
228	0.3875359603
229	0.3875335454
230	0.3875315291
231	0.3875290633
232	0.3875265518
233	0.3875246587
234	0.3875226039
235	0.3875203589
236	0.3875183546
237	0.3875165355
238	0.3875147685
239	0.3875128244
240	0.3875106925
241	0.3875088067
242	0.3875070785
243	0.3875050815
244	0.3875030177
245	0.3875011709
246	0.387499535
247	0.3874979372
248	0.3874960245
249	0.3874940654
