iter	Passed	Remaining
0	1810	450930
1	4586	568707
2	8033	661437
3	11795	725452
4	12353	605338
5	16696	678990
6	17258	599127
7	21892	662258
8	21910	586714
9	25224	605378
10	25240	548399
11	25365	503075
12	25373	462582
13	25438	428823
14	28782	450932
15	31940	467132
16	31949	437893
17	31973	412099
18	31990	388932
19	32000	368008
20	32009	349059
21	32019	331842
22	32025	316081
23	32137	302628
24	32147	289326
25	32255	277891
26	32259	266438
27	32277	255915
28	32808	250021
29	32817	240661
30	33368	235730
31	33375	227373
32	33386	219539
33	33416	212290
34	33990	208799
35	34536	205302
36	34540	198844
37	34549	192747
38	34561	186984
39	34569	181489
40	34604	176396
41	34615	171426
42	38978	187642
43	38998	182586
44	39015	177736
45	39024	173063
46	39038	168611
47	39045	164317
48	39067	160256
49	43071	172287
50	43083	168112
51	43666	166269
52	43690	162395
53	43697	158606
54	43827	155389
55	43834	151856
56	48047	162685
57	51165	169374
58	53911	174526
59	53926	170766
60	56948	176446
61	59775	181253
62	62381	185164
63	62398	181345
64	65019	185056
65	68448	190825
66	71447	195146
67	73346	196309
68	75915	199141
69	78778	202573
70	82566	208161
71	86321	213407
72	89509	217030
73	92166	219206
74	96029	224069
75	99719	228305
76	102895	231179
77	105226	232036
78	108017	233810
79	109994	233737
80	111962	233599
81	113783	233117
82	115797	232990
83	117634	232467
84	120959	234803
85	123567	235639
86	127738	239326
87	130672	240555
88	134336	243013
89	137154	243829
90	139559	243846
91	142922	245454
92	145090	244937
93	148362	246219
94	151643	247417
95	154123	247240
96	156331	246585
97	158997	246608
98	160635	245009
99	162311	243467
100	163988	241923
101	165550	240210
102	167143	238544
103	168679	236800
104	170308	235188
105	171943	233583
106	173535	231921
107	174965	230047
108	176343	228113
109	177883	226397
110	179269	224490
111	180722	222676
112	182364	221097
113	183590	219020
114	184876	217028
115	186084	214959
116	187310	212925
117	188437	210794
118	189594	208712
119	190969	206884
120	192150	204855
121	193468	202983
122	194690	201021
123	195868	199027
124	197405	197405
125	198993	195835
126	200663	194343
127	202263	192782
128	203754	191118
129	205034	189262
130	206283	187387
131	207607	185588
132	208853	183728
133	210062	181844
134	211260	179962
135	212438	178073
136	213527	176120
137	214739	174281
138	215976	172470
139	217111	170587
140	218434	168860
141	220189	167468
142	221748	165923
143	223436	164473
144	224911	162866
145	226335	161225
146	228051	159790
147	229539	158196
148	231068	156630
149	232633	155089
150	233998	153416
151	235454	151806
152	236763	150105
153	238037	148387
154	239567	146831
155	240884	145148
156	242103	143411
157	243384	141717
158	244822	140118
159	246308	138548
160	247481	136806
161	249069	135296
162	250403	133651
163	251660	131968
164	252824	130242
165	254279	128671
166	255535	127002
167	256709	125298
168	257939	123627
169	259275	122011
170	260455	120327
171	261567	118617
172	262734	116939
173	264038	115327
174	265143	113633
175	266362	111993
176	267850	110469
177	269056	108831
178	270226	107184
179	271519	105591
180	272803	103996
181	274101	102411
182	275374	100820
183	276541	99194
184	277823	97613
185	279275	96094
186	280767	94589
187	282403	93133
188	284678	91880
189	286359	90429
190	287786	88897
191	289025	87309
192	290236	85717
193	291633	84182
194	292803	82585
195	293993	80998
196	295295	79445
197	296815	77951
198	298654	76539
199	300242	75060
200	301688	73545
201	303776	72184
202	306177	70888
203	308512	69566
204	310307	68116
205	312062	66654
206	313754	65176
207	315943	63796
208	317413	62267
209	319035	60768
210	320370	59215
211	321856	57691
212	323246	56150
213	324633	54611
214	325978	53066
215	327368	51530
216	328909	50018
217	330221	48472
218	331512	46926
219	332830	45386
220	334122	43844
221	335498	42315
222	336702	40766
223	338332	39270
224	339484	37720
225	340039	36110
226	340775	34527
227	341754	32976
228	342608	31418
229	343734	29889
230	344752	28356
231	345698	26821
232	346656	25292
233	347240	23742
234	347854	22203
235	348399	20667
236	349372	19163
237	350423	17668
238	351400	16173
239	352341	14680
240	353228	13191
241	354199	11709
242	355047	10227
243	355963	8753
244	356919	7284
245	357864	5818
246	358804	4357
247	359661	2900
248	360424	1447
249	361328	0
