"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2020/11/01 00:00:00","CAPITL","1166","4"
"2020/11/01 00:00:00","CENTRL","1464","4"
"2020/11/01 00:00:00","DUNWOD","514","4"
"2020/11/01 00:00:00","GENESE","885","4"
"2020/11/01 00:00:00","HUD VL","869","4"
"2020/11/01 00:00:00","LONGIL","1702","4"
"2020/11/01 00:00:00","MHK VL","628","4"
"2020/11/01 00:00:00","MILLWD","265","4"
"2020/11/01 00:00:00","N.Y.C.","4396","4"
"2020/11/01 00:00:00","NORTH","557","4"
"2020/11/01 00:00:00","WEST","1402","4"
"2020/11/01 01:00:00","CAPITL","1131","5"
"2020/11/01 01:00:00","CENTRL","1427","5"
"2020/11/01 01:00:00","DUNWOD","495","5"
"2020/11/01 01:00:00","GENESE","860","5"
"2020/11/01 01:00:00","HUD VL","826","5"
"2020/11/01 01:00:00","LONGIL","1589","5"
"2020/11/01 01:00:00","MHK VL","610","5"
"2020/11/01 01:00:00","MILLWD","250","5"
"2020/11/01 01:00:00","N.Y.C.","4192","5"
"2020/11/01 01:00:00","NORTH","560","5"
"2020/11/01 01:00:00","WEST","1361","5"
"2020/11/01 01:00:00","CAPITL","1131","6"
"2020/11/01 01:00:00","CENTRL","1427","6"
"2020/11/01 01:00:00","DUNWOD","495","6"
"2020/11/01 01:00:00","GENESE","860","6"
"2020/11/01 01:00:00","HUD VL","826","6"
"2020/11/01 01:00:00","LONGIL","1589","6"
"2020/11/01 01:00:00","MHK VL","610","6"
"2020/11/01 01:00:00","MILLWD","250","6"
"2020/11/01 01:00:00","N.Y.C.","4192","6"
"2020/11/01 01:00:00","NORTH","560","6"
"2020/11/01 01:00:00","WEST","1361","6"
"2020/11/01 02:00:00","CAPITL","1111","7"
"2020/11/01 02:00:00","CENTRL","1405","7"
"2020/11/01 02:00:00","DUNWOD","480","7"
"2020/11/01 02:00:00","GENESE","847","7"
"2020/11/01 02:00:00","HUD VL","809","7"
"2020/11/01 02:00:00","LONGIL","1522","7"
"2020/11/01 02:00:00","MHK VL","600","7"
"2020/11/01 02:00:00","MILLWD","238","7"
"2020/11/01 02:00:00","N.Y.C.","4067","7"
"2020/11/01 02:00:00","NORTH","554","7"
"2020/11/01 02:00:00","WEST","1348","7"
"2020/11/01 03:00:00","CAPITL","1099","8"
"2020/11/01 03:00:00","CENTRL","1404","8"
"2020/11/01 03:00:00","DUNWOD","468","8"
"2020/11/01 03:00:00","GENESE","835","8"
"2020/11/01 03:00:00","HUD VL","799","8"
"2020/11/01 03:00:00","LONGIL","1489","8"
"2020/11/01 03:00:00","MHK VL","595","8"
"2020/11/01 03:00:00","MILLWD","234","8"
"2020/11/01 03:00:00","N.Y.C.","3991","8"
"2020/11/01 03:00:00","NORTH","552","8"
"2020/11/01 03:00:00","WEST","1337","8"
"2020/11/01 04:00:00","CAPITL","1101","9"
"2020/11/01 04:00:00","CENTRL","1417","9"
"2020/11/01 04:00:00","DUNWOD","466","9"
