"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2020/01/01 00:00:00","EST","N.Y.C.","61761","18.12","0.65","-10.88","1"
"2020/01/01 01:00:00","EST","N.Y.C.","61761","16.38","0.58","-9.84","1"
"2020/01/01 02:00:00","EST","N.Y.C.","61761","15.08","0.55","-8.59","1"
"2020/01/01 03:00:00","EST","N.Y.C.","61761","14.34","0.52","-8.1","1"
"2020/01/01 04:00:00","EST","N.Y.C.","61761","14.57","0.47","-8.88","1"
"2020/01/01 05:00:00","EST","N.Y.C.","61761","15.64","0.51","-9.4","1"
"2020/01/01 06:00:00","EST","N.Y.C.","61761","16.98","0.35","-12.75","1"
"2020/01/01 07:00:00","EST","N.Y.C.","61761","16.97","0.79","-7.92","1"
"2020/01/01 08:00:00","EST","N.Y.C.","61761","18.17","1.38","-4.39","1"
"2020/01/01 09:00:00","EST","N.Y.C.","61761","19.34","1.5","-4.33","1"
"2020/01/01 10:00:00","EST","N.Y.C.","61761","18.52","1.33","-4.98","1"
"2020/01/01 11:00:00","EST","N.Y.C.","61761","18.29","1.35","-4.7","1"
"2020/01/01 12:00:00","EST","N.Y.C.","61761","18.15","1.35","-4.54","1"
"2020/01/01 13:00:00","EST","N.Y.C.","61761","18.2","1.2","-5.71","1"
"2020/01/01 14:00:00","EST","N.Y.C.","61761","18.63","1.15","-6.7","1"
"2020/01/01 15:00:00","EST","N.Y.C.","61761","19.37","1.28","-6.16","1"
"2020/01/01 16:00:00","EST","N.Y.C.","61761","22.67","1.71","-6.34","1"
"2020/01/01 17:00:00","EST","N.Y.C.","61761","28.08","1.76","-10.98","1"
"2020/01/01 18:00:00","EST","N.Y.C.","61761","26.12","1.79","-9.01","1"
"2020/01/01 19:00:00","EST","N.Y.C.","61761","24","1.71","-6.98","1"
"2020/01/01 20:00:00","EST","N.Y.C.","61761","22.27","1.7","-5.9","1"
"2020/01/01 21:00:00","EST","N.Y.C.","61761","21.15","1.64","-4.87","1"
"2020/01/01 22:00:00","EST","N.Y.C.","61761","19.53","1.17","-7.22","1"
"2020/01/01 23:00:00","EST","N.Y.C.","61761","18.5","0.75","-10.44","1"
"2020/01/02 00:00:00","EST","N.Y.C.","61761","18.16","0.49","-12.55","1"
"2020/01/02 01:00:00","EST","N.Y.C.","61761","16.28","0.45","-10.72","1"
"2020/01/02 02:00:00","EST","N.Y.C.","61761","15.71","0.43","-10.16","1"
"2020/01/02 03:00:00","EST","N.Y.C.","61761","14.83","0.43","-9.3","1"
"2020/01/02 04:00:00","EST","N.Y.C.","61761","15.71","0.44","-10.17","1"
"2020/01/02 05:00:00","EST","N.Y.C.","61761","17.25","0.48","-11.26","1"
"2020/01/02 06:00:00","EST","N.Y.C.","61761","20.4","0.77","-11.31","1"
"2020/01/02 07:00:00","EST","N.Y.C.","61761","21.93","1.44","-6.8","1"
"2020/01/02 08:00:00","EST","N.Y.C.","61761","21.93","1.74","-5.01","1"
"2020/01/02 09:00:00","EST","N.Y.C.","61761","22.5","1.77","-5.42","1"
"2020/01/02 10:00:00","EST","N.Y.C.","61761","21.59","1.92","-4.34","1"
"2020/01/02 11:00:00","EST","N.Y.C.","61761","20.59","1.88","-3.65","1"
"2020/01/02 12:00:00","EST","N.Y.C.","61761","19.98","1.83","-3.43","1"
"2020/01/02 13:00:00","EST","N.Y.C.","61761","20.15","1.76","-3.72","1"
"2020/01/02 14:00:00","EST","N.Y.C.","61761","20.26","1.76","-3.85","1"
"2020/01/02 15:00:00","EST","N.Y.C.","61761","21.32","1.76","-4.9","1"
"2020/01/02 16:00:00","EST","N.Y.C.","61761","22.97","1.84","-5.79","1"
"2020/01/02 17:00:00","EST","N.Y.C.","61761","29.04","2.1","-9.54","1"
"2020/01/02 18:00:00","EST","N.Y.C.","61761","26.35","1.8","-9.18","1"
"2020/01/02 19:00:00","EST","N.Y.C.","61761","24.72","1.78","-7.86","1"
"2020/01/02 20:00:00","EST","N.Y.C.","61761","22.89","1.72","-6.22","1"
"2020/01/02 21:00:00","EST","N.Y.C.","61761","21.46","1.67","-5.12","1"
"2020/01/02 22:00:00","EST","N.Y.C.","61761","19.96","1.17","-8.11","1"
"2020/01/02 23:00:00","EST","N.Y.C.","61761","18.75","0.58","-12.73","1"
"2020/01/03 00:00:00","EST","N.Y.C.","61761","18.63","0.52","-12.9","1"
"2020/01/03 01:00:00","EST","N.Y.C.","61761","17.66","0.48","-12.06","1"
"2020/01/03 02:00:00","EST","N.Y.C.","61761","16.3","0.47","-10.72","1"
"2020/01/03 03:00:00","EST","N.Y.C.","61761","16.06","0.46","-10.48","1"
"2020/01/03 04:00:00","EST","N.Y.C.","61761","16.46","0.46","-10.88","1"
"2020/01/03 05:00:00","EST","N.Y.C.","61761","18.2","0.62","-11.01","1"
"2020/01/03 06:00:00","EST","N.Y.C.","61761","21.65","0.89","-10.71","1"
"2020/01/03 07:00:00","EST","N.Y.C.","61761","22.61","1.51","-6.41","1"
"2020/01/03 08:00:00","EST","N.Y.C.","61761","22.71","1.87","-4.84","1"
"2020/01/03 09:00:00","EST","N.Y.C.","61761","22.96","1.95","-5.32","1"
