,Temperature,Dew Point,Humidity,Wind Speed,Condition,date
0,43,29,58,12,Cloudy,2016/01/01 00:00:00
1,43,29,58,17,Cloudy,2016/01/01 01:00:00
2,43,28,56,16,Cloudy,2016/01/01 02:00:00
3,42,27,55,13,Cloudy,2016/01/01 03:00:00
4,42,27,55,13,Cloudy,2016/01/01 04:00:00
5,41,28,60,13,Cloudy,2016/01/01 05:00:00
6,41,28,60,13,Cloudy,2016/01/01 06:00:00
7,41,28,60,13,Cloudy,2016/01/01 07:00:00
8,41,27,57,10,Cloudy,2016/01/01 08:00:00
9,40,26,58,10,Cloudy,2016/01/01 09:00:00
10,40,26,58,9,Cloudy,2016/01/01 10:00:00
11,41,25,53,12,Cloudy,2016/01/01 11:00:00
12,42,26,53,14,Cloudy,2016/01/01 12:00:00
13,41,25,53,14,Cloudy,2016/01/01 13:00:00
14,41,25,53,16,Cloudy,2016/01/01 14:00:00
15,40,25,55,18,Cloudy,2016/01/01 15:00:00
16,40,22,49,15,Cloudy,2016/01/01 16:00:00
17,40,20,45,14,Cloudy,2016/01/01 17:00:00
18,39,20,46,13,Cloudy,2016/01/01 18:00:00
19,39,22,50,15,Cloudy,2016/01/01 19:00:00
20,38,22,53,10,Fair,2016/01/01 20:00:00
21,38,20,48,12,Fair,2016/01/01 21:00:00
22,37,19,48,15,Fair,2016/01/01 22:00:00
23,36,19,50,16,Fair,2016/01/01 23:00:00
0,37,16,42,15,Fair,2016/01/02 00:00:00
1,36,16,44,13,Fair,2016/01/02 01:00:00
2,36,17,46,20,Fair,2016/01/02 02:00:00
3,36,18,48,14,Cloudy,2016/01/02 03:00:00
4,36,19,50,18,Cloudy,2016/01/02 04:00:00
5,35,20,54,18,Cloudy,2016/01/02 05:00:00
6,35,20,54,18,Fair,2016/01/02 06:00:00
7,35,20,54,12,Cloudy,2016/01/02 07:00:00
8,35,20,54,8,Cloudy,2016/01/02 08:00:00
9,35,18,50,9,Cloudy,2016/01/02 09:00:00
10,36,18,48,13,Cloudy,2016/01/02 10:00:00
11,37,18,46,14,Cloudy,2016/01/02 11:00:00
12,38,20,48,15,Cloudy,2016/01/02 12:00:00
13,40,19,43,7,Cloudy,2016/01/02 13:00:00
14,40,20,45,12,Cloudy,2016/01/02 14:00:00
15,40,20,45,10,Cloudy,2016/01/02 15:00:00
16,40,20,45,12,Cloudy,2016/01/02 16:00:00
17,41,21,45,18,Cloudy,2016/01/02 17:00:00
18,39,19,45,16,Cloudy,2016/01/02 18:00:00
19,38,20,48,8,Fair,2016/01/02 19:00:00
20,37,19,48,7,Fair,2016/01/02 20:00:00
21,37,19,48,7,Fair,2016/01/02 21:00:00
22,37,20,50,12,Fair,2016/01/02 22:00:00
23,37,20,50,10,Fair,2016/01/02 23:00:00
0,37,21,52,13,Fair,2016/01/03 00:00:00
1,37,21,52,9,Fair,2016/01/03 01:00:00
2,37,21,52,12,Fair,2016/01/03 02:00:00
3,36,22,57,8,Fair,2016/01/03 03:00:00
4,37,22,54,9,Fair,2016/01/03 04:00:00
5,37,21,52,13,Fair,2016/01/03 05:00:00
6,37,23,57,9,Fair,2016/01/03 06:00:00
7,38,22,53,10,Fair,2016/01/03 07:00:00
8,38,23,55,9,Fair,2016/01/03 08:00:00
9,41,22,47,16,Fair,2016/01/03 09:00:00
10,43,22,43,13,Fair,2016/01/03 10:00:00
11,45,21,39,12,Cloudy,2016/01/03 11:00:00
